serial,player_name,club,position,pass_accuracy,pass_attempted,pass_completed,match_played
125,Toni Martínez,Porto,Forward,89,20,16,6
130,Lovren,Zenit,Defender,88.8,159,141,4
131,Gueye,Paris,Midfielder,88.7,209,190,7
131,Ter Stegen,Barcelona,Goalkeeper,88.7,213,188,6
131,Kjær,Milan,Defender,88.7,134,119,3
131,Mechele,Club Brugge,Defender,88.7,38,32,3
135,Fonte,LOSC,Defender,88.5,369,328,8
135,Morato,Benfica,Defender,88.5,134,121,2
135,Hutchinson,Beşiktaş,Midfielder,88.5,90,77,4
135,Krunić,Milan,Midfielder,88.5,90,77,4
139,Sterling,Man. City,Forward,88.4,206,185,12
140,Mbemba,Porto,Defender,88.2,215,192,5
140,Dodô,Shakhtar Donetsk,Defender,88.2,289,256,6
142,João Cancelo,Man. City,Defender,88,668,586,9
142,Pau Torres,Villarreal,Defender,88,506,457,12
142,Azpilicueta,Chelsea,Defender,88,491,434,9
142,Zinchenko,Man. City,Defender,88,356,314,8
142,Botman,LOSC,Defender,88,248,220,5
142,Varane,Man. United,Defender,88,245,222,5
142,Alex Telles,Man. United,Defender,88,179,164,4
142,Pedrinho,Shakhtar Donetsk,Midfielder,88,170,150,4
142,Neres,Ajax,Forward,88,104,91,5
142,Morton,Liverpool,Midfielder,88,76,67,2
142,Onana,Ajax,Goalkeeper,88,56,49,2
142,Hateboer,Atalanta,Defender,88,33,29,1
154,Keïta,Liverpool,Midfielder,87.9,354,313,10
155,Camavinga,Real Madrid,Midfielder,87.7,179,158,10
155,Demir,Barcelona,Midfielder,87.7,47,39,3
157,De Ligt,Juventus,Defender,87.6,346,307,7
158,Éder Militão,Real Madrid,Defender,87.5,643,563,12
158,Kobel,Dortmund,Goalkeeper,87.5,175,152,6
158,Lewicki,Malmö,Midfielder,87.5,62,54,2
161,Tomori,Milan,Defender,87.4,194,169,5
161,Gravenberch,Ajax,Midfielder,87.4,386,342,8
163,Shaparenko,Dynamo Kyiv,Midfielder,87.3,321,287,6
163,Carvajal,Real Madrid,Defender,87.3,576,503,11
165,Souza,Beşiktaş,Midfielder,87.2,267,237,5
165,Onguéné,Salzburg,Defender,87.2,242,213,5
165,Bernardeschi,Juventus,Midfielder,87.2,131,111,5
165,Capoue,Villarreal,Midfielder,87.2,491,438,12
165,Cuadrado,Juventus,Midfielder,87.2,256,226,7
165,Grealish,Man. City,Midfielder,87.2,243,214,7
165,Ronaldo,Man. United,Forward,87.2,204,179,7
172,Akanji,Dortmund,Defender,87,299,262,5
172,Sydorchuk,Dynamo Kyiv,Midfielder,87,297,262,6
172,Coates,Sporting CP,Defender,87,240,211,6
172,Camara,Young Boys,Defender,87,208,185,4
172,Dybala,Juventus,Forward,87,178,156,5
172,Zagadou,Dortmund,Defender,87,111,103,2
172,Pedri,Barcelona,Midfielder,87,103,90,2
179,Mazraoui,Ajax,Defender,86.9,385,338,8
179,Alex Sandro,Juventus,Defender,86.9,325,284,7
181,Bellingham,Dortmund,Midfielder,86.8,281,246,6
181,Sané,Bayern,Midfielder,86.8,398,346,10
181,Hummels,Dortmund,Defender,86.8,310,277,5
181,Tolisso,Bayern,Midfielder,86.8,197,178,4
181,Ibrahimović,Milan,Forward,86.8,49,40,4
186,Davies,Bayern,Midfielder,86.7,278,236,7
186,Fati,Barcelona,Forward,86.7,74,64,3
186,Alex Teixeira,Beşiktaş,Midfielder,86.7,50,44,3
189,Walker,Man. City,Defender,86.6,397,347,7
190,Camara,Salzburg,Midfielder,86.5,369,325,8
190,Tetê,Shakhtar Donetsk,Forward,86.5,129,110,6
190,Mudryk,Shakhtar Donetsk,Midfielder,86.5,69,54,6
193,Romagnoli,Milan,Defender,86.4,221,192,5
193,André Almeida,Benfica,Defender,86.4,103,82,5
195,Gvardiol,Leipzig,Defender,86.3,196,162,6
195,Nkunku,Leipzig,Midfielder,86.3,193,167,6
195,Mehmet Topal,Beşiktaş,Midfielder,86.3,81,70,3
195,Pulišić,Chelsea,Midfielder,86.3,123,106,7
195,Alonso,Chelsea,Defender,86.3,300,258,8
195,Jones,Liverpool,Midfielder,86.3,132,118,4
201,Henderson,Liverpool,Midfielder,86.2,602,530,12
201,Pasveer,Ajax,Goalkeeper,86.2,232,200,6
203,Havertz,Chelsea,Midfielder,86.1,248,210,9
204,Fernando,Sevilla,Midfielder,86,293,253,6
204,Ronald Araújo,Barcelona,Defender,86,192,167,5
204,Pepe,Porto,Defender,86,190,163,5
204,Ismaily,Shakhtar Donetsk,Defender,86,184,159,5
204,Dahoud,Dortmund,Midfielder,86,141,117,4
204,Jesus,Man. City,Forward,86,131,113,8
204,Haidara,Leipzig,Midfielder,86,123,106,4
211,Albiol,Villarreal,Defender,85.9,440,385,12
212,Bennacer,Milan,Midfielder,85.8,200,170,6
212,McKennie,Juventus,Midfielder,85.8,170,153,6
212,Klostermann,Leipzig,Defender,85.8,161,140,5
212,Sabitzer,Bayern,Midfielder,85.8,83,72,5
212,João Mário,Benfica,Midfielder,85.8,268,242,8
212,Montero,Beşiktaş,Defender,85.8,168,147,4
212,Greenwood,Man. United,Forward,85.8,143,123,4
219,Sancho,Man. United,Midfielder,85.7,202,176,7
219,Firmino,Liverpool,Midfielder,85.7,176,150,7
219,Goretzka,Bayern,Midfielder,85.7,338,307,6
219,Hakan Çalhanoğlu,Inter,Midfielder,85.7,262,225,6
219,Nsoki,Club Brugge,Defender,85.7,184,162,6
219,Chalobah,Chelsea,Defender,85.7,106,92,3
219,Fassnacht,Young Boys,Midfielder,85.7,86,73,3
226,Syrota,Dynamo Kyiv,Defender,85.6,224,194,5
226,Locatelli,Juventus,Midfielder,85.6,363,316,7
228,Aebischer,Young Boys,Midfielder,85.5,272,235,6
228,Diallo,Paris,Defender,85.5,117,103,2
228,Karavaev,Zenit,Defender,85.5,115,99,4
228,Dest,Barcelona,Defender,85.5,109,95,4
232,Guilavogui,Wolfsburg,Midfielder,85.4,215,184,5
232,Mbappé,Paris,Forward,85.4,257,220,8
232,Valverde,Real Madrid,Midfielder,85.4,395,336,11
235,Claudinho,Zenit,Midfielder,85.3,267,229,6
235,Oxlade-Chamberlain,Liverpool,Midfielder,85.3,165,141,6
235,Navas,Paris,Goalkeeper,85.3,101,86,3
235,Fernandinho,Man. City,Midfielder,85.3,291,254,8
235,De Sciglio,Juventus,Defender,85.3,144,126,4
240,Barella,Inter,Midfielder,85.2,306,265,6
240,Addo,Sheriff,Midfielder,85.2,137,118,6
242,Douglas Santos,Zenit,Defender,85,238,202,5
242,Mendy,Chelsea,Goalkeeper,85,208,173,9
242,João Palhinha,Sporting CP,Midfielder,85,194,165,6
242,Kessié,Milan,Midfielder,85,175,150,5
242,Brooks,Wolfsburg,Defender,85,167,143,4
242,Marcelo,Real Madrid,Defender,85,63,55,3
242,Lamela,Sevilla,Midfielder,85,54,46,4
249,Mahrez,Man. City,Midfielder,84.9,482,414,12
250,Fred,Man. United,Midfielder,84.8,262,224,6
250,Wan-Bissaka,Man. United,Defender,84.8,254,218,6
250,Arboleda,Sheriff,Defender,84.8,145,124,6
250,L. Nielsen,Malmö,Defender,84.8,162,140,5
250,Wendell,Porto,Defender,84.8,52,42,4
255,Tsygankov,Dynamo Kyiv,Midfielder,84.7,174,148,6
256,Solet,Salzburg,Defender,84.6,142,123,5
257,Malcom,Zenit,Forward,84.5,179,149,6
257,Chiesa,Juventus,Forward,84.5,90,77,4
257,Kondogbia,Atlético,Midfielder,84.5,242,209,9
260,Rosier,Beşiktaş,Defender,84.4,177,150,5
261,Parejo,Villarreal,Midfielder,84.3,657,560,12
261,Otamendi,Benfica,Defender,84.3,380,328,9
261,Guerreiro,Dortmund,Defender,84.3,129,111,3
264,Coman,Bayern,Forward,84.2,329,271,9
264,Mykolenko,Dynamo Kyiv,Defender,84.2,201,171,5
264,Freuler,Atalanta,Midfielder,84.2,360,307,6
264,Neymar,Paris,Forward,84.2,259,223,6
264,Hendry,Club Brugge,Defender,84.2,175,148,6
269,Matheus Reis,Sporting CP,Defender,84.1,224,192,8
270,Jordi Alba,Barcelona,Defender,84,301,251,5
270,Szczęsny,Juventus,Goalkeeper,84,176,145,7
270,Ugarte,Sporting CP,Midfielder,84,74,65,4
270,Lustenberger,Young Boys,Defender,84,68,57,1
270,Coutinho,Barcelona,Forward,84,66,52,4
270,Meite,Benfica,Midfielder,84,41,35,3
270,Messias Junior,Milan,Forward,84,35,26,2
270,M. Kerzhakov,Zenit,Goalkeeper,84,33,27,2
278,Blind,Ajax,Defender,83.9,439,368,8
278,Mount,Chelsea,Midfielder,83.9,268,225,7
280,Vanaken,Club Brugge,Midfielder,83.8,288,241,6
280,Forsberg,Leipzig,Forward,83.8,164,132,6
280,André Silva,Leipzig,Forward,83.8,99,82,6
280,Gómez,Sevilla,Forward,83.8,176,148,5
280,Donnarumma,Paris,Goalkeeper,83.8,153,128,5
280,Luis Díaz,Liverpool,Forward,83.8,341,282,13
286,Matheus Nunes,Sporting CP,Midfielder,83.7,211,177,6
287,Nuno Mendes,Paris,Defender,83.6,258,220,8
287,Lucas Vázquez,Real Madrid,Midfielder,83.6,239,207,8
287,Palomino,Atalanta,Defender,83.6,245,207,5
287,Brandt,Dortmund,Midfielder,83.6,240,198,5
291,Jesús Navas,Sevilla,Defender,83.5,249,209,4
291,Schulz,Dortmund,Defender,83.5,129,110,4
291,Uribe,Porto,Midfielder,83.5,112,96,4
291,Taarabt,Benfica,Midfielder,83.5,149,127,9
295,Tiago Djaló,LOSC,Defender,83.4,276,236,7
295,Musiala,Bayern,Midfielder,83.4,168,141,8
297,Pjanic,Beşiktaş,Midfielder,83.3,216,182,3
297,Ranocchia,Inter,Defender,83.3,38,31,3
297,Vertonghen,Benfica,Defender,83.3,424,360,10
297,Tolói,Atalanta,Defender,83.3,231,189,4
301,Estupiñán,Villarreal,Defender,83.2,282,229,10
301,Moumi Ngamaleu,Young Boys,Midfielder,83.2,192,159,6
301,Moi Gómez,Villarreal,Midfielder,83.2,83,62,6
304,Benzema,Real Madrid,Forward,83.1,523,433,12
304,Vinícius Júnior,Real Madrid,Forward,83.1,451,377,13
306,Ahmedhodžić,Malmö,Defender,83,225,191,5
306,Reus,Dortmund,Midfielder,83,215,182,6
306,Bentancur,Juventus,Midfielder,83,206,176,5
306,Djimsiti,Atalanta,Defender,83,191,160,5
306,Pogba,Man. United,Midfielder,83,191,157,6
306,Verissimo,Benfica,Defender,83,111,93,3
306,Trubin,Shakhtar Donetsk,Goalkeeper,83,94,78,3
306,Vormer,Club Brugge,Midfielder,83,80,68,4
306,N'Koudou,Beşiktaş,Midfielder,83,41,34,1
306,L. de Jong,Barcelona,Forward,83,35,29,3
316,Onana,LOSC,Midfielder,82.8,95,76,8
316,Abubakari,Malmö,Forward,82.8,33,26,4
318,De Bruyne,Man. City,Midfielder,82.6,397,334,10
319,Lo Celso,Villarreal,Midfielder,82.5,204,170,6
319,Lingard,Man. United,Midfielder,82.5,49,42,4
321,David,LOSC,Forward,82.4,148,122,8
322,Faivre,Young Boys,Goalkeeper,82.3,122,100,3
322,Moreno,Villarreal,Defender,82.3,135,110,7
322,Herrera,Atlético,Midfielder,82.3,121,102,4
322,Van de Beek,Man. United,Midfielder,82.3,117,102,4
322,Chilwell,Chelsea,Defender,82.3,87,71,4
327,Malinovskyi,Atalanta,Midfielder,82.2,143,114,5
327,Bounou,Sevilla,Goalkeeper,82.2,185,152,6
329,Foyth,Villarreal,Defender,82.1,347,290,10
330,André,LOSC,Midfielder,82,352,289,7
330,Berghuis,Ajax,Forward,82,277,229,8
330,Coquelin,Villarreal,Midfielder,82,150,124,8
330,Kędziora,Dynamo Kyiv,Defender,82,129,106,5
330,Suso,Sevilla,Forward,82,99,81,4
330,Serdar Saatçı,Beşiktaş,Defender,82,22,18,1
336,Antony,Ajax,Forward,81.9,322,262,7
337,Lacroix,Wolfsburg,Defender,81.8,284,232,6
337,Elia,Young Boys,Forward,81.8,118,96,6
337,Mæhle,Atalanta,Defender,81.8,217,184,5
340,Rakitskyy,Zenit,Defender,81.7,348,287,6
341,De Roon,Atalanta,Midfielder,81.5,298,245,6
341,Welinton,Beşiktaş,Defender,81.5,183,158,4
343,Bamba,LOSC,Forward,81.3,218,174,6
343,Dulanto,Sheriff,Defender,81.3,195,162,6
343,N'Sakala,Beşiktaş,Defender,81.3,161,134,3
343,Trigueros,Villarreal,Midfielder,81.3,142,116,9
343,João Félix,Atlético,Forward,81.3,160,131,8
343,Alan Patrick,Shakhtar Donetsk,Midfielder,81.3,153,127,4
349,Gulácsi,Leipzig,Goalkeeper,81.2,182,145,5
349,Mostovoy,Zenit,Midfielder,81.2,49,38,5
349,S. Thill,Sheriff,Midfielder,81.2,206,167,6
349,Laimer,Leipzig,Midfielder,81.2,187,149,6
349,Salah,Liverpool,Forward,81.2,426,346,13
354,Matić,Man. United,Midfielder,81.1,152,132,8
354,Martínez,Inter,Forward,81.1,121,97,8
354,Koke,Atlético,Midfielder,81.1,308,252,9
354,Robertson,Liverpool,Defender,81.1,628,512,10
354,Reinildo,LOSC,Defender,81.1,364,302,10
354,Grimaldo,Benfica,Defender,81.1,319,257,10
354,Foden,Man. City,Midfielder,81.1,287,238,11
361,Savić,Atlético,Defender,81,191,158,5
361,Weah,LOSC,Forward,81,66,51,5
361,Ballo,Milan,Defender,81,31,27,2
361,Celeadnic,Sheriff,Goalkeeper,81,31,25,1
365,Christiansen,Malmö,Midfielder,80.8,193,163,4
365,Haller,Ajax,Forward,80.8,162,134,8
367,Marcos Llorente,Atlético,Midfielder,80.7,249,212,9
367,Meraş,Beşiktaş,Defender,80.7,88,71,3
367,T. Hazard,Dortmund,Midfielder,80.7,66,54,3
370,Diogo Jota,Liverpool,Forward,80.5,234,189,11
370,Munir,Sevilla,Forward,80.5,49,41,4
372,Renato Sanches,LOSC,Midfielder,80.4,204,163,5
372,Peña,Malmö,Midfielder,80.4,170,138,5
372,Buyalskiy,Dynamo Kyiv,Midfielder,80.4,101,84,5
372,Fernando,Shakhtar Donetsk,Midfielder,80.4,77,63,5
376,Depay,Barcelona,Forward,80.3,254,203,6
376,Herrera,Paris,Midfielder,80.3,224,199,6
376,Dalot,Man. United,Defender,80.3,135,115,3
376,Xeka,LOSC,Midfielder,80.3,218,180,7
376,Loftus-Cheek,Chelsea,Forward,80.3,252,229,8
381,Brorsson,Malmö,Defender,80.2,163,139,5
382,Alexander-Arnold,Liverpool,Defender,80,685,556,9
382,Vranckx,Wolfsburg,Midfielder,80,95,77,4
382,Sergi Roberto,Barcelona,Midfielder,80,77,62,3
382,Alexis Sánchez,Inter,Forward,80,67,54,6
386,Shaw,Man. United,Defender,79.8,233,190,5
386,Garcia,Young Boys,Defender,79.8,226,184,5
386,Balanta,Club Brugge,Midfielder,79.8,155,124,5
386,L. Nmecha,Wolfsburg,Forward,79.8,66,50,5
386,Gilberto,Benfica,Defender,79.8,291,232,9
386,Griezmann,Atlético,Forward,79.8,191,151,9
386,Perišić,Inter,Midfielder,79.8,219,168,8
386,Szoboszlai,Leipzig,Midfielder,79.8,105,85,4
394,Carrasco,Atlético,Forward,79.7,148,117,7
395,Castañeda,Sheriff,Midfielder,79.6,90,73,5
395,Pašalić,Atalanta,Midfielder,79.6,71,57,5
397,Óliver Torres,Sevilla,Midfielder,79.5,122,105,4
397,Evanilson,Porto,Forward,79.5,72,58,4
397,Lukaku,Chelsea,Forward,79.5,61,49,6
400,Danilo,Paris,Midfielder,79.4,199,185,7
401,Lukebakio,Wolfsburg,Forward,79.3,70,53,6
401,Rieks,Malmö,Midfielder,79.3,68,55,3
403,Ocampos,Sevilla,Midfielder,79.2,165,133,6
404,Lewandowski,Bayern,Forward,79.1,206,163,10
405,Wöber,Salzburg,Defender,79,314,255,7
405,Mané,Liverpool,Midfielder,79,278,219,13
405,Perin,Juventus,Goalkeeper,79,19,15,1
408,Müller,Bayern,Forward,78.9,366,283,10
408,Giménez,Atlético,Defender,78.9,211,175,7
408,Morata,Juventus,Forward,78.9,137,108,7
411,Renan Lodi,Atlético,Defender,78.8,164,128,10
411,Brahim Díaz,Milan,Midfielder,78.8,124,98,5
413,Arnold,Wolfsburg,Midfielder,78.7,266,210,6
413,Mignolet,Club Brugge,Goalkeeper,78.7,216,166,6
413,Roussillon,Wolfsburg,Defender,78.7,131,103,6
413,Everton,Benfica,Forward,78.7,115,87,9
417,Danjuma,Villarreal,Midfielder,78.6,165,128,11
417,T. Hernández,Milan,Defender,78.6,215,172,5
417,Tsimikas,Liverpool,Defender,78.6,201,165,5
420,Tonali,Milan,Midfielder,78.5,184,148,6
420,Garmash,Dynamo Kyiv,Midfielder,78.5,88,69,6
420,Rıdvan Yılmaz,Beşiktaş,Defender,78.5,57,44,2
423,Rashford,Man. United,Forward,78.4,110,91,5
424,Gonçalo Ramos,Benfica,Forward,78.3,101,76,7
425,Bruno Fernandes,Man. United,Midfielder,78.2,324,250,7
426,Zeki Çelik,LOSC,Defender,78,297,233,7
426,Iličić,Atalanta,Midfielder,78,130,101,4
426,Traore,Sheriff,Midfielder,78,105,83,6
426,Larin,Beşiktaş,Forward,78,100,78,5
426,João Virginia,Sporting CP,Goalkeeper,78,36,28,1
431,Acuña,Sevilla,Defender,77.8,275,214,5
431,Saúl Ñíguez,Chelsea,Midfielder,77.8,92,79,5
433,Rodrygo,Real Madrid,Forward,77.6,209,183,11
433,Rakitić,Sevilla,Midfielder,77.6,148,124,5
433,Werner,Chelsea,Forward,77.6,71,58,5
436,Saelemaekers,Milan,Midfielder,77.5,182,141,6
436,Čolak,Malmö,Forward,77.5,76,59,6
438,Meunier,Dortmund,Defender,77.3,271,212,6
438,Kritsyuk,Zenit,Goalkeeper,77.3,97,74,4
440,Rits,Club Brugge,Midfielder,77.2,129,101,6
440,Dumfries,Inter,Defender,77.2,124,93,7
442,Sérgio Oliveira,Porto,Midfielder,77,127,96,6
442,Draxler,Paris,Forward,77,76,68,3
442,Corona,Porto,Forward,77,76,55,4
442,Vlahović,Juventus,Forward,77,29,22,2
446,Ziyech,Chelsea,Midfielder,76.8,240,186,9
447,Klaassen,Ajax,Midfielder,76.7,108,94,7
447,Pino,Villarreal,Forward,76.7,106,88,7
447,Courtois,Real Madrid,Goalkeeper,76.7,483,365,13
450,Grujić,Porto,Midfielder,76.5,131,110,6
450,Gomes,LOSC,Midfielder,76.5,54,40,4
452,Malen,Dortmund,Forward,76.3,137,107,6
452,Tagliafico,Ajax,Defender,76.3,69,57,3
452,Calabria,Milan,Defender,76.3,120,91,4
455,Bruno,Sheriff,Midfielder,76.2,82,63,6
456,Aaronson,Salzburg,Midfielder,76.1,239,181,8
456,Lemar,Atlético,Midfielder,76.1,171,133,8
456,Rafa Silva,Benfica,Forward,76.1,187,145,9
459,Hermoso,Atlético,Defender,76,165,127,6
459,Musso,Atalanta,Goalkeeper,76,158,120,6
461,De Paul,Atlético,Midfielder,75.8,293,228,9
461,Tymchyk,Dynamo Kyiv,Defender,75.8,94,75,4
463,Tadić,Ajax,Forward,75.7,303,231,7
464,Ricardo Esgaio,Sporting CP,Defender,75.6,171,146,8
464,Giroud,Milan,Forward,75.6,48,36,5
466,Gomez,Liverpool,Defender,75.4,200,173,7
466,Salih Uçan,Beşiktaş,Midfielder,75.4,57,50,5
468,Bornauw,Wolfsburg,Defender,75.3,86,68,3
468,João Mário,Porto,Forward,75.3,126,95,4
468,Montiel,Sevilla,Defender,75.3,123,103,4
468,Ricca,Club Brugge,Defender,75.3,61,47,4
472,Sobol,Club Brugge,Defender,75,96,74,4
472,Weghorst,Wolfsburg,Forward,75,92,69,5
472,Birmančević,Malmö,Midfielder,75,92,66,6
472,Kepa,Chelsea,Goalkeeper,75,28,21,1
476,Steffen,Wolfsburg,Midfielder,74.8,84,66,5
476,Paulinho,Sporting CP,Forward,74.8,139,105,8
476,Bozdoğan,Beşiktaş,Midfielder,74.8,52,39,4
479,Origi,Liverpool,Forward,74.7,47,35,7
479,Hefti,Young Boys,Defender,74.7,204,154,6
481,De Gea,Man. United,Goalkeeper,74.6,164,121,7
482,Waldschmidt,Wolfsburg,Forward,74.3,30,25,3
482,Pessina,Atalanta,Midfielder,74.3,100,78,4
484,Bruno Tabata,Sporting CP,Midfielder,74,76,58,4
484,Boyko,Dynamo Kyiv,Goalkeeper,74,31,23,1
486,Vlachodimos,Benfica,Goalkeeper,73.8,345,247,10
487,Zaidu,Porto,Defender,73.7,152,112,6
